t,g,z_hat,Ω,E,v_1,L_tilde,entry_residual,λ_ii,S,z_bar,c,π_min,log_M,U,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,w,r
2.75,0.009076425516193252,1.8733443319800835,0.6818859240440039,0.01636269439224997,6.866777653394309,0.23262661941939963,0.0,0.8606820356276123,0.17122870140807817,1.168213303693519,0.8964557920945272,0.2528410885422257,0.024832663685209127,18.69919535104728,1.8921459063373756,0.11675844128250222,0.0279076815565868,0.0879604965803106,0.7993338315035867,0.04776652939767091
3.0,0.009084805510349582,1.873191778205861,0.6815895982348663,0.016406391620302815,6.866777653394309,0.2328001588322272,0.0,0.8606544759604086,0.17127050900273114,1.1679962554251346,0.8960865416467166,0.2528857109293067,0.027102817812417933,18.815453325196632,1.8921744744154632,0.11673619742065257,0.027906889715429664,0.08815707169614496,0.799185319221249,0.04778483784826412
3.25,0.009093173678591098,1.873039477524287,0.6812947182332861,0.016449813928710064,6.866777653394309,0.23297242377710056,0.0,0.8606269552186087,0.171312257598172,1.1677802654498795,0.8957196665689551,0.2529302707431055,0.029375065460510948,18.9318376350316,1.892203003969647,0.11671413627025473,0.02790613395408379,0.08835215355276205,0.7990375310613802,0.047803116409573604
3.5,0.00910153012538637,1.8728874280942442,0.6810012786460087,0.016492961353812226,6.866777653394309,0.2331434167948609,0.0,0.8605994731013815,0.17135394771559195,1.1675653305111464,0.8953551600245566,0.2529747686473247,0.031649403673374654,19.048347840068057,1.8922314953042478,0.11669225749535944,0.027905414253377243,0.08854574504612421,0.798890464795692,0.0478213631700961
3.75,0.009109875038501363,1.872735626140265,0.6807092734204815,0.01653583393195681,6.866777653394309,0.23331314059820701,0.0,0.8605720289577776,0.17139558029175106,1.1673514470424444,0.8949930147511103,0.253019205394716,0.03392582955079075,19.16498332167034,1.892259949086687,0.11667056092787965,0.027904730710469994,0.08873784895985737,0.7987441179838621,0.0478395895075718
4.0,0.009118208372751676,1.872584072281684,0.6804187003521661,0.016578431576560148,6.866777653394309,0.23348159741311347,0.0,0.8605446229309646,0.17143715510122534,1.16713861401841,0.8946332260148643,0.25306358070513124,0.03620434025571831,19.281743589987,1.8922883651611555,0.11664904626604847,0.02790408325316278,0.08892846789390223,0.7985984899242996,0.04785778017108057
4.25,0.009126530266025164,1.872432764025338,0.6801295519191823,0.016620754455208386,6.866777653394309,0.23364878983260393,0.0,0.860517254601133,0.17147867283193408,1.1669268265512018,0.8942757857043125,0.25310789599147326,0.038484932787491016,19.398628164662156,1.8923167439555981,0.11662771291687939,0.02790347182224404,0.08911760509348055,0.7984535772725667,0.047875946361193036
4.5,0.009134840891354468,1.8722816977942678,0.6798418247428509,0.016662802457021775,6.866777653394309,0.2338147205487672,0.0,0.860489923351888,0.17152013434713312,1.1667160831484302,0.8939206882073278,0.25315215103873284,0.040767604409592734,19.51563652606361,1.8923450861019413,0.11660656111469392,0.027902896608573858,0.08930526282549942,0.7983093790075162,0.0478940880343738
4.75,0.009143140125442905,1.872130875887207,0.6795555149847134,0.01670457565327767,6.866777653394309,0.23397939160545456,0.0,0.8604626296296002,0.17156153903169813,1.166506381282858,0.8935679278864145,0.25319634633185084,0.04305235227104517,19.632768272418176,1.8923733911301044,0.11658559000825564,0.027902357346976624,0.0894914442502223,0.798165893399921,0.04791219501939203
5.0,0.009151428302734436,1.8719802919091442,0.6792706154223579,0.016746074075920696,6.866777653394309,0.23414280584218664,0.0,0.8604353723071584,0.17160288855416225,1.1662977167245214,0.8932174968833062,0.2532404828937961,0.04533917357012876,19.750022693998957,1.8924016602018365,0.11656479971644008,0.027901854279349235,0.08967615184639734,0.7980231175554867,0.047930282154359447
5.25,0.009159705331165568,1.8718299473844546,0.6789871240728602,0.01678729768262393,6.866777653394309,0.2343049654431361,0.0,0.8604081516903063,0.1716441824552229,1.1660900884910503,0.8928693906035713,0.25328456043646,0.04762806549553102,19.8673995155426,1.89242989299301,0.11654418980910908,0.0279013872735044,0.08985938836052258,0.7978810508020402,0.047948337778058764
